id,name,url
3113,Find the Number of Subarrays Where Boundary Elements Are Maximum,https://leetcode.com/problems/find-the-number-of-subarrays-where-boundary-elements-are-maximum/description/
3114,Latest Time You Can Obtain After Replacing Characters,https://leetcode.com/problems/latest-time-you-can-obtain-after-replacing-characters/description/
3115,Maximum Prime Difference,https://leetcode.com/problems/maximum-prime-difference/description/
3116,Kth Smallest Amount With Single Denomination Combination,https://leetcode.com/problems/kth-smallest-amount-with-single-denomination-combination/description/
3117,Minimum Sum of Values by Dividing Array,https://leetcode.com/problems/minimum-sum-of-values-by-dividing-array/description/
3118,Friday Purchase III ,https://leetcode.com/problems/friday-purchase-iii/description/
3119,Maximum Number of Potholes That Can Be Fixed,https://leetcode.com/problems/maximum-number-of-potholes-that-can-be-fixed/description/
3120,Count the Number of Special Characters I,https://leetcode.com/problems/count-the-number-of-special-characters-i/description/
3121,Count the Number of Special Characters II,https://leetcode.com/problems/count-the-number-of-special-characters-ii/description/
3122,Minimum Number of Operations to Satisfy Conditions,https://leetcode.com/problems/minimum-number-of-operations-to-satisfy-conditions/description/
3123,Find Edges in Shortest Paths,https://leetcode.com/problems/find-edges-in-shortest-paths/description/
3124,Find Longest Calls,https://leetcode.com/problems/find-longest-calls/description/
3125,Maximum Number That Makes Result of Bitwise AND Zero,https://leetcode.com/problems/maximum-number-that-makes-result-of-bitwise-and-zero/description/
3126,Server Utilization Time,https://leetcode.com/problems/server-utilization-time/description/
3127,Make a Square with the Same Color,https://leetcode.com/problems/make-a-square-with-the-same-color/description/
3128,Right Triangles,https://leetcode.com/problems/right-triangles/description/
3129,Find All Possible Stable Binary Arrays I,https://leetcode.com/problems/find-all-possible-stable-binary-arrays-i/description/
3130,Find All Possible Stable Binary Arrays II,https://leetcode.com/problems/find-all-possible-stable-binary-arrays-ii/description/
3131,Find the Integer Added to Array I,https://leetcode.com/problems/find-the-integer-added-to-array-i/description/
3132,Find the Integer Added to Array II,https://leetcode.com/problems/find-the-integer-added-to-array-ii/description/
3133,Minimum Array End,https://leetcode.com/problems/minimum-array-end/description/
3134,Find the Median of the Uniqueness Array,https://leetcode.com/problems/find-the-median-of-the-uniqueness-array/description/
3135,Equalize Strings by Adding or Removing Characters at Ends,https://leetcode.com/problems/equalize-strings-by-adding-or-removing-characters-at-ends/description/
3136,Valid Word,https://leetcode.com/problems/valid-word/description/
3137,Minimum Number of Operations to Make Word K-Periodic,https://leetcode.com/problems/minimum-number-of-operations-to-make-word-k-periodic/description/
3138,Minimum Length of Anagram Concatenation,https://leetcode.com/problems/minimum-length-of-anagram-concatenation/description/
3139,Minimum Cost to Equalize Array,https://leetcode.com/problems/minimum-cost-to-equalize-array/description/
3140,Consecutive Available Seats II,https://leetcode.com/problems/consecutive-available-seats-ii/description/
3141,Maximum Hamming Distances,https://leetcode.com/problems/maximum-hamming-distances/description/
3142,Check if Grid Satisfies Conditions,https://leetcode.com/problems/check-if-grid-satisfies-conditions/description/
3143,Maximum Points Inside the Square,https://leetcode.com/problems/maximum-points-inside-the-square/description/
3144,Minimum Substring Partition of Equal Character Frequency,https://leetcode.com/problems/minimum-substring-partition-of-equal-character-frequency/description/
3145,Find Products of Elements of Big Array,https://leetcode.com/problems/find-products-of-elements-of-big-array/description/
3146,Permutation Difference between Two Strings,https://leetcode.com/problems/permutation-difference-between-two-strings/description/
3147,Taking Maximum Energy From the Mystic Dungeon,https://leetcode.com/problems/taking-maximum-energy-from-the-mystic-dungeon/description/
3148,Maximum Difference Score in a Grid,https://leetcode.com/problems/maximum-difference-score-in-a-grid/description/
3149,Find the Minimum Cost Array Permutation,https://leetcode.com/problems/find-the-minimum-cost-array-permutation/description/
3150,Invalid Tweets II,https://leetcode.com/problems/invalid-tweets-ii/description/
3151,Special Array I,https://leetcode.com/problems/special-array-i/description/
3152,Special Array II,https://leetcode.com/problems/special-array-ii/description/
3153,Sum of Digit Differences of All Pairs,https://leetcode.com/problems/sum-of-digit-differences-of-all-pairs/description/
3154,Find Number of Ways to Reach the K-th Stair,https://leetcode.com/problems/find-number-of-ways-to-reach-the-k-th-stair/description/
3155,Maximum Number of Upgradable Servers,https://leetcode.com/problems/maximum-number-of-upgradable-servers/description/
3156,Employee Task Duration and Concurrent Tasks,https://leetcode.com/problems/employee-task-duration-and-concurrent-tasks/description/
3157,Find the Level of Tree with Minimum Sum,https://leetcode.com/problems/find-the-level-of-tree-with-minimum-sum/description/
3158,Find the XOR of Numbers Which Appear Twice,https://leetcode.com/problems/find-the-xor-of-numbers-which-appear-twice/description/
3159,Find Occurrences of an Element in an Array,https://leetcode.com/problems/find-occurrences-of-an-element-in-an-array/description/
3160,Find the Number of Distinct Colors Among the Balls,https://leetcode.com/problems/find-the-number-of-distinct-colors-among-the-balls/description/
3161,Block Placement Queries,https://leetcode.com/problems/block-placement-queries/description/
3162,Find the Number of Good Pairs I,https://leetcode.com/problems/find-the-number-of-good-pairs-i/description/
3163,String Compression III,https://leetcode.com/problems/string-compression-iii/description/
3164,Find the Number of Good Pairs II,https://leetcode.com/problems/find-the-number-of-good-pairs-ii/description/
3165,Maximum Sum of Subsequence With Non-adjacent Elements,https://leetcode.com/problems/maximum-sum-of-subsequence-with-non-adjacent-elements/description/
3166,Calculate Parking Fees and Duration,https://leetcode.com/problems/calculate-parking-fees-and-duration/description/
3167,Better Compression of String,https://leetcode.com/problems/better-compression-of-string/description/
3168,Minimum Number of Chairs in a Waiting Room,https://leetcode.com/problems/minimum-number-of-chairs-in-a-waiting-room/description/
